AppID,FacilityType,AllImprovementTypes,DominantImprovementType,ImprovementTypeCount,F_Mainline_Capacity_Expansion,F_Mainline_Capacity_Expansion_features,F_Interchange_Operations_Improvement,F_Interchange_Operations_Improvement_features,F_Merge-Diverge_Weaving_Improvement,F_Merge-Diverge_Weaving_Improvement_features,F_New_Freeway_Connection_Access_Improvement,F_New_Freeway_Connection_Access_Improvement_features,F_Freeway_Operational_Control_ITS,F_Freeway_Operational_Control_ITS_features,A_Arterial_Corridor_Capacity_Expansion,A_Arterial_Corridor_Capacity_Expansion_features,A_Signal_Operational_Optimization,A_Signal_Operational_Optimization_features,A_Intersection_Control_Change,A_Intersection_Control_Change_features,A_Lane_Channelization_Geometric_Improvement,A_Lane_Channelization_Geometric_Improvement_features,A_Access_Management,A_Access_Management_features
534,Arterial,Arterial Corridor Capacity Expansion,Arterial Corridor Capacity Expansion,1,0,,0,,0,,0,,0,,1,corridor widening; segment widening,0,,0,,0,,0,
515,Arterial,Lane / Channelization / Geometric Improvement,Lane / Channelization / Geometric Improvement,1,0,,0,,0,,0,,0,,0,,0,,0,,1,added left-turn lane; added right-turn lane,0,
495,Hybrid,Lane / Channelization / Geometric Improvement; Intersection Control Change,Lane / Channelization / Geometric Improvement,2,0,,0,,0,,0,,0,,0,,0,,1,channelization improvement,1,shoulder improvement; acceleration lane extension; turn lane lengthening; taper addition,0,
623,Arterial,Arterial Corridor Capacity Expansion; Lane / Channelization / Geometric Improvement; Access Management,Arterial Corridor Capacity Expansion,3,0,,0,,0,,0,,0,,1,added through lane; corridor widening,0,,0,,1,added left-turn lane; intersection realignment,1,median opening closure; access spacing improvement
602,Arterial,Lane / Channelization / Geometric Improvement; Access Management,Lane / Channelization / Geometric Improvement,2,0,,0,,0,,0,,0,,0,,0,,0,,1,added left-turn lane; added right-turn lane; lane extension,1,median opening closure; access spacing improvement
439,Freeway,Mainline Capacity Expansion; Merge-Diverge / Weaving Improvement,Mainline Capacity Expansion,2,1,mainline widening; shoulder conversion,0,,1,auxiliary lane addition; merge taper improvement,0,,0,,0,,0,,0,,0,,0,
642,Arterial,Lane / Channelization / Geometric Improvement,Lane / Channelization / Geometric Improvement,1,0,,0,,0,,0,,0,,0,,0,,0,,1,added left-turn lane; added right-turn lane,0,
503,Arterial,Lane / Channelization / Geometric Improvement,Lane / Channelization / Geometric Improvement,1,0,,0,,0,,0,,0,,0,,0,,0,,1,added left-turn lane; added right-turn lane; improved turn lane,0,
629,Arterial,Lane / Channelization / Geometric Improvement; Access Management,Lane / Channelization / Geometric Improvement,2,0,,0,,0,,0,,0,,0,,0,,0,,1,added right-turn lane; turn lane extension; turn lane widening,1,access management techniques
474,Freeway,Merge-Diverge / Weaving Improvement,Merge-Diverge / Weaving Improvement,1,0,,0,,1,auxiliary lane addition; acceleration lane extension,0,,0,,0,,0,,0,,0,,0,
