AppID,UPC,Title,Description,SMART SCALE Round,Area Type,Principal Improvement Type,FacilityType,Total Expenditures as of July 2025,Construction District,Construction Begin,Construction End,Jurisdiction,Road System,Project Category,Innovative Intersection/Interchange Configuration,No Data Flag Congestion,No Method Flag Congestion,Peak Period for Congestion and Reliability Analysis,Before Year for Congestion and Reliability Measures,After Year for Congestion and Reliability Measures,Average Delay % Change,Average Delay Before (hours per 1000 veh),Average Delay After (hours per 1000 veh),Average Delay Change (hours per 1000 veh),Average Speed % Change,Average Speed Before (mph),Average Speed After (mph),Average Speed Change (mph),PTI % Change,PTI Before,PTI After,PTI Change,BTI % Change,BTI Before,BTI After,BTI Change,TTI % Change,TTI Before,TTI After,TTI Change,LOTTR % Change,LOTTR Before,LOTTR After,LOTTR Change,Average VMT % Change,Average VMT Before,Average VMT After,Average VMT Change,Average VHT % Change,Average VHT Before,Average VHT After,Average VHT Change,AADT,PeakHourVolume,DirectionalVolume,DataQualityFlag,ConfounderFlag,Notes
534,109543,Route 799 (Climax Road) and Route 790 (Piney Road) Widen and Overlay,Widen Route 799 (Climax Road) and Route 790 (Piney Road) to a uniform 20-foot width for a total of 10.5 miles.,1,D,Highway,Arterial,"$1,295,261 ",Lynchburg,7/26/2016,9/27/2017,Pittsylvania County,Secondary,Widening without added capacity,,,,PM (4:00-7:00 PM),2016,2018,-126%,3.813295592,-0.988749354,-4.802044945,0.022927212,45.61624298,46.66209626,1.045853277,-0.067744729,1.163925733,1.0850759,-0.078849833,-0.367163914,0.161539612,0.102228095,-0.059311516,-0.018062407,1.002302763,0.984198762,-0.018104001,-0.021474397,1.064515718,1.041655885,-0.022859833,-50.20%,622.2,310,-312.2627829,-0.514983126,13.80312577,6.69474891,-7.108376865,,,,,,
515,109544,US 460 (Richmond Highway) and Route 630 Turn Lanes,Construct the eastbound right-turn lane at US 460 (Richmond Highway) and Route 630. Reconstruct the eastbound right-turn taper to a full-length turn lane.,1,D,Highway,Arterial,"$410,759 ",Lynchburg,3/12/2019,12/3/2019,Appomattox County,Primary,Intersection - New Turn Lane(s),,,,PM (4:00-7:00 PM),2017,2022,-64%,-0.22780015,-0.373479146,-0.145678996,0.01953421,62.57086587,63.79313833,1.222272455,-0.008768598,1.051904994,1.042681262,-0.009223732,0.108524877,0.068353284,0.075771316,0.007418032,-0.015603693,0.984604085,0.969240625,-0.01536346,0.015747142,1.016254954,1.032258065,0.016003111,7.90%,568.3,613.3,44.99989242,0.059056093,9.07852367,9.614665812,0.536142142,,,,,,
495,108900,N Main Street Intersection Improvements at US 460 Bypass,Construct an RCUT at the intersection of US 460 Blacksburg Bypass and N Main Street/Farmingdale Lane.,1,C,Highway,Hybrid,"$2,250,674 ",Salem,2/27/2018,10/26/2018,Blacksburg,Primary,Intersection Reconfiguration,Restricted Crossing U-Turn,,,PM (4:00-7:00 PM),2016,2022,-280%,-0.09748092,-0.370224473,-0.272743553,0.077333285,56.5150062,60.88549729,4.370491089,-0.052721608,1.10096324,1.042918688,-0.058044552,-0.357061042,0.118751961,0.076350262,-0.042401699,-0.015444083,0.984108908,0.968910248,-0.015198659,-0.013380019,1.047603862,1.033586902,-0.01401696,-7.50%,1492.1,1380.5,-111.6749512,-0.150923271,26.58299355,22.57100121,-4.011992337,,,,,,
623,109478,Route 3 Passing Lanes,Construct northbound and southbound passing lane sections along Route 3 between Longwood Road and Potomac Mills Road.,1,D,Highway,Arterial,"$6,860,547 ",Fredericksburg,9/8/2020,12/9/2021,Westmoreland County,Primary,Widening with added capacity,,,,PM (4:00-7:00 PM),2019,2023,35%,-0.332072613,-0.214444235,0.117628379,0.01107951,56.13612047,56.75808119,0.621960724,0.034015725,1.039951004,1.075325692,0.035374687,0.402064799,0.068647084,0.096247659,0.027600576,0.007906473,0.973225684,0.980920466,0.007694783,0.012771207,1.029812191,1.042964135,0.013151944,6.20%,665.9,707.3,41.3919781,0.050567262,11.89786329,12.49950567,0.601642372,,,,,,
602,109578,Rappahannock Community College Site Access Improvements,Extend the existing eastbound left-turn lane and westbound right-turn lane at Route 33 and College Drive. Convert 30 existing parking spaces in the Rappahannock Community College parking lot to dedicated commuter spaces.,1,D,TDM,Arterial,"$526,269 ",Fredericksburg,6/12/2018,12/13/2018,Gloucester County,Primary,Intersection - Turn Lane Extension,,,,PM (4:00-7:00 PM),2017,2022,10%,-0.230243197,-0.207111877,0.02313132,0.029594751,53.40297104,54.98341865,1.580447619,-0.01574256,1.061014083,1.044311005,-0.016703078,-0.225800526,0.107087141,0.082906808,-0.024180333,0.00577519,0.958588173,0.964124202,0.005536029,-0.018139165,1.055027236,1.035889923,-0.019137313,9.30%,327.8,358.2,30.42076995,0.02665578,6.108542955,6.271370935,0.162827979,,,,,,
439,108907,"US 460 ""S"" Curves",Realign the eastbound US 460 lanes to be parallel to the existing westbound lanes with a grass median separating the two directions. Realign and widen the existing one-lane Wilkerson Mill Crossover to a two-lane facility. Remove the existing eastbound US 460 lanes. Modify/improve the five existing crossovers along US 460 from Overhill Trail to Hobson Hollow Lane.,1,D,Highway,Freeway,"$15,707,731 ",Salem,12/10/2019,7/5/2022,Bedford County,Primary,Realignment,,,,PM (4:00-7:00 PM),2018,2023,54%,-0.365339067,-0.169753706,0.195585361,-0.058964611,38.71329276,36.43057851,-2.282714257,0.039467132,1.036909486,1.07783333,0.040923844,0.571255395,0.066974688,0.10523434,0.038259652,0.002172587,0.97123102,0.973341104,0.002110084,0.013997494,1.027340533,1.041720726,0.014380193,22.40%,469.6,574.8,105.1835307,0.209774147,8.202223425,9.922837848,1.720614423,,,,,,
642,109703,Heartland Regional Business Park Entrance,Construct a northbound left-turn lane and a southbound right-turn lane at the entrance to the Heartland Regional Business Park at US 360 (Kings Highway) and Heartland Road.,1,D,Highway,Arterial,"$166,019 ",Lynchburg,7/10/2018,9/28/2018,Charlotte County,Primary,Intersection - New Turn Lane(s),,,,PM (4:00-7:00 PM),2017,2019,-40%,-0.096492175,-0.135530682,-0.039038507,-0.007628871,61.91974269,61.44736498,-0.472377705,-0.007334982,1.05067853,1.042971821,-0.007706708,-0.060949134,0.073441727,0.068965517,-0.00447621,-0.003046693,0.978665009,0.975683317,-0.002981692,-0.000938644,1.026821133,1.025857313,-0.00096382,19.20%,183.5,218.7,35.17114068,0.197509818,2.974867529,3.562433075,0.587565545,,,,,,
503,109546,US 460 (Richmond Highway) and Route 609 (Stage Road) Turn Lanes,Construct eastbound and westbound left-turn lanes and eastbound right-turn lane at US 460 (Richmond Highway) and Route 609 (Stage Road). Reconstruct the westbound right-turn taper to a full-length turn lane.,1,D,Highway,Arterial,"$1,043,098 ",Lynchburg,3/12/2019,12/3/2019,Appomattox County,Primary,Intersection - New Turn Lane(s),,,,PM (4:00-7:00 PM),2017,2022,50%,-0.257388062,-0.129572872,0.12781519,0.033227324,60.21094978,62.21159853,2.000648752,0.007383797,1.044320218,1.052031267,0.007711049,-0.039446584,0.071299616,0.06848709,-0.002812526,0.010034285,0.974817367,0.984598962,0.009781595,-0.001095227,1.034242405,1.033109675,-0.00113273,14.10%,1007.4,1149.9,142.4847628,0.104756362,16.75566782,18.51093063,1.755262805,,,,,,
629,109534,US 29 (Thomas Nelson Highway) and Route 655 (Arrington Road) Right-Turn Lanes,Construct a southbound right-turn lane at US 29 (Thomas Nelson Highway) and Route 655 (Arrington Road). Extend and widen the northbound right-turn lane at US 29 and Route 655.,1,C,Highway,Arterial,"$890,602 ",Lynchburg,2/12/2019,9/12/2019,Nelson County,Primary,Intersection - New Turn Lane(s),,,,PM (4:00-7:00 PM),2017,2022,18%,-0.133455958,-0.109955233,0.023500725,0.031328187,60.38578806,62.27756531,1.891777252,-0.002182161,1.054335389,1.05203466,-0.00230073,-0.16129343,0.081662273,0.068490685,-0.013171588,0.010047177,0.974804788,0.984598824,0.009794037,-0.000761148,1.033898305,1.033111356,-0.000786949,5.10%,505.4,531.3,25.95107629,0.019690264,8.374259257,8.539150633,0.164891376,,,,,,
474,103320,Additional Merging Lane on Northbound I-77 in Fort Chiswell,Construct a travel lane on the northbound I-77 ramp through Exit 80 on northbound I-77/southbound I-81 in Fort Chiswell.,1,D,Highway,Freeway,"$6,217,022 ",Bristol,6/13/2017,8/30/2018,Wythe County,Interstate,Freeway Acceleration/Deceleration/Auxiliary Lane Improvement,,,,PM (4:00-7:00 PM),2016,2022,-98%,-0.042753498,-0.084682935,-0.041929437,0.051403215,64.33089664,67.63771154,3.306814906,0.003784953,1.032099164,1.036005611,0.003906447,0.080153953,0.048108449,0.051964531,0.003856082,0.000105451,0.984725571,0.984829412,0.00010384,-0.005882648,1.026429906,1.02039178,-0.006038126,-9.90%,1329.6,1197.4,-132.2087006,-0.139684295,20.54302041,17.6734831,-2.869537316,,,,,,
